STATE,CY_Qtr,facility_count,avg_days_reported,total_resident_days,avg_daily_census,MDScensus,Total_Nurse_Hours,Total_RN_Hours,Total_Nurse_Care_Hours,Total_RN_Care_Hours,Total_Nurse_Assistant_Hours,Total_Contract_Hours,Total_Nurse_HPRD,RN_HPRD,Nurse_Care_HPRD,RN_Care_HPRD,Nurse_Assistant_HPRD,Contract_Percentage,Direct_Care_Percentage,Total_RN_Percentage,Nurse_Aide_Percentage
NC,2023Q3,408,92.0,3079087.0,82.0302376385337,33468.336956521736,11186526.099999992,1547646.4399999997,10374211.240000004,931801.2900000009,6930387.490000004,1390335.4300000006,3.6330659380524137,0.5026316047581636,3.369249144308038,0.3026225923463678,2.2507930077974425,12.428661208773308,92.73845291435032,13.83491555971072,61.95299083957806
NC,2023Q4,413,92.0,3120719.0,82.13282977155492,33920.858695652176,11386791.68,1595240.6199999996,10530409.720000004,951927.0600000006,7036680.820000001,1231317.9900000002,3.6487718631507673,0.51117727036622,3.374353705027592,0.3050345321062231,2.254826794722627,10.813563860685298,92.47916371822132,14.009570604526944,61.79686972195491
NC,2024Q1,410,91.0,3120329.0,83.63251139104797,34289.32967032967,11275030.629999995,1605111.93,10410640.990000002,952537.4999999997,6931184.089999998,1126111.3199999998,3.6134108390493433,0.5144047086060476,3.3363920887829464,0.3052682906193544,2.2212991290341493,9.987656414907676,92.33359386448076,14.235987312790126,61.47374953960547
NC,2024Q2,409,91.0,3104579.0,83.41382089792847,34116.25274725275,11249641.629999995,1592824.820000001,10388858.040000005,952165.5199999996,6964313.0600000005,1118563.3800000004,3.6235642997005377,0.5130566237805516,3.346301717559773,0.3066971463763684,2.2432391187339733,9.943102338629792,92.34834656684087,14.15889387758214,61.906977031409696
NC,2024Q3,410,92.0,3161677.0,83.81964475079538,34366.05434782609,11578538.190000009,1649866.950000001,10706361.510000004,993416.3699999994,7235711.619999997,1115501.3799999994,3.662150874361931,0.5218328595868588,3.386291993141616,0.3142055213103677,2.288567624080511,9.634216009784554,92.467298844743,14.2493544774498,62.49244508472786
NC,2024Q4,410,92.0,3217813.0,85.30787380699893,34976.22826086957,11766065.489999993,1670839.959999998,10882604.490000011,1008963.4599999996,7320173.949999997,1086373.2400000002,3.656541101052172,0.5192470662527617,3.3819878563484,0.3135556541042004,2.274891036241073,9.23310550092817,92.4914492380581,14.200498555953551,62.21428867807536
NC,2025Q1,411,90.0,3164705.0,85.55569072722358,35163.38888888889,11379546.46,1636276.6699999992,10498530.729999997,981149.4300000004,7028043.090000001,1044235.3599999996,3.595768471310912,0.5170392406243234,3.317380523619104,0.3100287167366312,2.2207577293934198,9.176423363361351,92.25790119934176,14.379102679985008,61.76030929443563
NC,2025Q2,409,91.0,3188469.0,85.66777721056451,35038.12087912088,11627199.810000004,1672985.160000001,10736359.509999996,1025817.34,7213694.94,1131185.66,3.646640381324079,0.5246985810431279,3.3672460074098245,0.3217272427613378,2.2624322017871275,9.728788345299794,92.33830746390169,14.388547434792905,62.04154962397604
NC,2025Q3,406,92.0,3241407.0,86.78001177982433,35232.684782608696,11898803.159999996,1716997.7699999998,11015124.559999987,1068281.2799999998,7413843.430000001,1075115.3799999994,3.6708759992188567,0.5297075529237766,3.398254079169937,0.3295733241768157,2.2872300300455946,9.035491767896426,92.5733824812679,14.430003983694778,62.30747185500969
NC,2025Q4,407,92.0,3264972.0,87.19613289178504,35488.82608695652,11888894.529999996,1692875.4399999997,11005680.209999999,1045606.1100000003,7406255.480000001,965688.2300000002,3.6413465505982887,0.5184961586194307,3.3708344849511724,0.32024964073198803,2.2683978545604684,8.12260742631048,92.57109802958277,14.239132458684535,62.29557728274341
ND,2017Q1,72,90.0,458335.0,70.73070987654322,5092.611111111111,2025573.05,345934.7,1893889.38,221604.3,1404704.6800000002,70585.45999999999,4.419416038487133,0.7547638735859142,4.13210725779179,0.4834985327326082,3.064799066185214,3.4847155969023182,93.4989424350803,17.078362096099177,69.34850757418995
ND,2017Q2,72,91.0,463111.0,70.68238705738705,5089.131868131868,2057148.4400000009,341002.55,1927869.3300000003,220596.06,1435839.82,153699.26000000004,4.442020250004861,0.736330059100302,4.162866634564932,0.4763351766639099,3.100422620063009,7.471471528811988,93.71561587456468,16.576467860530272,69.79757960490198
ND,2017Q3,75,92.0,484733.0,70.25115942028988,5268.836956521739,2122051.4000000004,346386.88000000006,1990624.66,223241.32,1483697.4400000004,73937.08999999998,4.377773743483527,0.7145931471552381,4.106641511925122,0.4605449185427853,3.0608550274068413,3.48422710213334,93.8066184447747,16.323208759222325,69.91807267250925
ND,2017Q4,73,92.0,476945.0,71.01622989874926,5184.184782608696,2148080.3,354583.3900000001,2013014.56,229956.03999999995,1498618.0,86845.65000000001,4.503832307708436,0.7434471270272255,4.220642967218443,0.4821437272641498,3.142119112266613,4.042942435624963,93.71225833596633,16.50698951989831,69.76545522995579
ND,2018Q1,73,90.0,442876.0,67.4088280060883,4920.844444444445,1996145.0400000005,340533.4600000001,1863895.14,219894.93,1389419.98,75057.45,4.507232363009059,0.7689137817357456,4.2086162718232645,0.4965157967467192,3.1372663680127166,3.760120056205935,93.37473493409075,17.05955495097691,69.60516155679748
ND,2018Q2,77,91.0,479073.0,68.37062937062937,5264.538461538462,2186540.1500000004,362473.8000000001,2038980.1100000003,226726.75,1519696.8299999998,71628.68,4.564106409670344,0.7566149626466113,4.2560948122728695,0.4732613818770834,3.1721612990087102,3.2758913665500256,93.25143697910144,16.57750487682561,69.50235192342566
ND,2018Q3,76,92.0,488518.0,69.86813501144162,5309.978260869565,2204501.13,362570.94,2064768.95,235062.19,1539589.2300000002,95860.99,4.512630302261124,0.742185426125547,4.2265974846372085,0.4811740611400194,3.1515506695761477,4.3484209962732026,93.66150563052786,16.44684754595703,69.8384414073764
ND,2018Q4,78,92.0,488241.0,68.03804347826089,5306.967391304348,2185748.51,363598.54999999993,2045534.46,236746.61000000004,1525389.47,106979.79,4.476781978572058,0.7447112184351579,4.189599931181527,0.4848970283118379,3.124255173162434,4.894423558362622,93.58507855050532,16.63496730463286,69.78796796709241
ND,2019Q1,75,90.0,463474.0,68.66281481481478,5149.711111111111,2081134.37,352370.47,1940470.73,225540.89000000004,1438683.8799999997,88058.35999999999,4.490293673431519,0.760280986635712,4.186795224759102,0.4866311594609407,3.104130717149181,4.231267392888235,93.24101115104838,16.93165396139222,69.12979290231989
ND,2019Q2,78,91.0,476985.0,67.19991546914626,5241.593406593406,2169298.33,373035.14,2019293.2199999995,238035.23,1500558.5499999998,103760.54000000002,4.547938258016499,0.7820689120202942,4.233452246926003,0.4990413325366626,3.1459239808379715,4.7831383339515146,93.08508618083891,17.196119816309455,69.17253054816116
ND,2019Q3,77,92.0,478081.0,67.48743647656691,5196.532608695652,2163015.8600000003,374666.12,2015582.44,241240.42,1496631.41,124248.36999999998,4.52437110029472,0.783687534120787,4.215985240994727,0.50460156333341,3.1304975725870725,5.744219092318628,93.18389556329927,17.32146892348722,69.19188331795218
ND,2019Q4,76,92.0,473211.0,67.67891876430208,5143.597826086957,2128895.62,376571.6299999999,1983637.89,244726.39999999997,1466796.6799999997,125370.61,4.498829528476725,0.7957795359786647,4.191867665798132,0.5171612663272831,3.09966733655811,5.888997507543372,93.17685053999972,17.68859057542708,68.89941743597555
ND,2020Q1,70,91.0,439105.0,68.93328100470957,4825.32967032967,1948071.11,345357.4199999999,1821332.8699999992,229651.91,1338978.75,109116.9,4.436458500814156,0.786503045968504,4.147829949556482,0.5229999886132018,3.049336149668074,5.601279103204812,93.49416767440276,17.728173177415478,68.7335664045652
ND,2020Q2,77,91.0,428801.0,61.19608962466109,4712.0989010989015,2011162.43,355762.09,1873181.8100000003,229307.17000000004,1382911.3199999994,105811.44,4.690199952891901,0.8296671183136234,4.36841754100387,0.5347636082938241,3.2250655199031706,5.2612080666204575,93.13926026352831,17.68937628772232,68.76179165697718
ND,2020Q3,77,92.0,441004.0,62.25352907961604,4793.521739130435,2001101.14,374345.66,1870055.7299999995,252602.35000000003,1363291.1,109277.6,4.537603150991828,0.8488486725743983,4.240450721535404,0.5727892490771059,3.091334999229032,5.460873406928347,93.45133499848984,18.70698349609655,68.12704629212294
ND,2020Q4,73,92.0,387844.0,57.74925550923169,4215.695652173913,1837936.96,357989.24999999994,1704492.4400000006,234888.46,1229201.96,140615.16000000003,4.73885624116913,0.9230238188550034,4.394788729489178,0.6056261280308577,3.169320551561968,7.65070636590278,92.73943976838032,19.47777632155566,66.87944073990437
ND,2021Q1,76,90.0,381210.0,55.73245614035089,4235.666666666667,1839965.74,355765.22000000003,1721251.91,245370.82,1238147.5799999998,118376.24,4.826646048109965,0.933252590435718,4.515232837543612,0.6436631253115082,3.2479409774140238,6.4336110953892005,93.54804128037732,19.33542632157923,67.29188229341705
ND,2021Q2,76,91.0,400204.0,57.86639676113359,4397.846153846154,1807102.32,339918.20000000007,1691277.5600000003,232305.36,1218557.3299999996,138069.72,4.515452919011304,0.849362325214141,4.226038620303646,0.5804673616455608,3.044840456367252,7.640393046476748,93.59058096942736,18.81012470837844,67.43156248064578
ND,2021Q3,77,92.0,415791.0,58.69438170525126,4519.467391304348,1852317.12,354869.51000000007,1735208.8799999997,246056.34,1239586.0100000005,182884.01,4.454923555343911,0.8534804986158914,4.173271860141272,0.5917788985331572,2.981271864951383,9.873255935787062,93.67774347407638,19.15814015690791,66.92083102919226
ND,2021Q4,74,92.0,404107.0,59.35766745005876,4392.467391304348,1808638.02,337352.53,1697144.12,233973.09000000008,1211360.05,209458.68,4.47564140190593,0.8348099142058911,4.199739474941043,0.5789879660584946,2.9976220406971423,11.581017189940528,93.83547737208356,18.652296715514144,66.9763676647691
ND,2022Q1,77,90.0,404685.0,58.39610389610393,4496.5,1814579.12,341294.2000000001,1692011.69,228005.19999999995,1208702.9799999995,247450.83000000007,4.483929772539136,0.8433576732520358,4.181058576423638,0.5634140133684222,2.98677484957436,13.636816784268964,93.24540723250468,18.808449642030496,66.6106518408522
ND,2022Q2,76,91.0,409157.0,59.160931174089086,4496.2307692307695,1856422.1,340995.00999999995,1737699.84,231302.72000000003,1249627.5400000005,264881.5099999999,4.537187681012422,0.8334087159696644,4.247024589582972,0.5653153190584544,3.0541516826059447,14.2683880998831,93.6047809385592,18.36839854470597,67.31376123996804
ND,2022Q3,75,92.0,415387.0,60.2010144927536,4515.076086956522,1852849.04,344162.12999999995,1736540.0999999994,235440.5,1245356.7699999998,286302.80999999994,4.460536896917813,0.8285337047139173,4.180535500629532,0.5667979498636212,2.9980639018553776,15.452031105567022,93.72269745191976,18.57475285736176,67.21307257713775
