STATE,CY_Qtr,facility_count,avg_days_reported,total_resident_days,avg_daily_census,MDScensus,Total_Nurse_Hours,Total_RN_Hours,Total_Nurse_Care_Hours,Total_RN_Care_Hours,Total_Nurse_Assistant_Hours,Total_Contract_Hours,Total_Nurse_HPRD,RN_HPRD,Nurse_Care_HPRD,RN_Care_HPRD,LPN_HPRD,LPN_Care_HPRD,Nurse_Assistant_HPRD,Contract_Percentage
NATIONAL,2021Q1,14857,90.0,97059299.0,72.58778054489845,1078436.6555555556,380917736.6099994,66937471.31000015,351434452.00000113,45451882.619999744,222341249.84000093,19148315.729999952,3.924587757531604,0.6896554168395566,3.620822070845588,0.4682898299110912,0.9453185574235945,0.8628439047695986,2.290777412682538,5.026890031535825
NATIONAL,2021Q2,14812,91.0,100691670.0,74.70306968214088,1106501.868131868,377249638.7200008,65955183.20000011,347915789.27000165,44635842.90000002,221003533.6199997,21683547.90000006,3.746582400709024,0.6550212465440299,3.455258903442575,0.4432923090857468,0.8977997668618023,0.8181108529829678,2.194854188236224,5.747798188375167
NATIONAL,2021Q3,14806,92.0,104304954.0,76.57365257328082,1133749.5,377334100.4100012,65255954.95000016,348704735.70999897,44420448.36000016,221671685.15000063,26912569.06000004,3.6176047823193622,0.6256266116564335,3.343127266131568,0.4258709357179733,0.8678627702237166,0.7930444376185704,2.1252268147302056,7.132291788830524
NATIONAL,2021Q4,14627,90.95911670198949,102675347.0,77.23381433625407,1128807.6525236778,371006488.91000223,62448773.37999953,343614750.690001,42589176.37999988,219528630.54000017,31055711.61000002,3.613394059530203,0.6082158493216442,3.346613970440256,0.414794569722758,0.8681316317747302,0.7946694034310384,2.1380851095638387,8.370665349072489
NATIONAL,2022Q1,14752,90.0,102418358.0,77.14084568570756,1137981.7555555557,370373150.4799997,61995150.26000002,342273762.31000066,41815577.70999996,218676869.4399996,36013832.60000001,3.616276981124807,0.6053128703742743,3.341918079862213,0.408282055351834,0.8769401568335801,0.7994852045853955,2.13513352205861,9.723661813316236
NATIONAL,2022Q2,14694,91.0,104610059.0,78.23336653818492,1149561.087912088,379214421.7799996,62246441.17000001,350883806.05000013,42003109.99000025,225975765.6599988,39170409.460000046,3.625028275531319,0.5950330375972736,3.3542071327003087,0.4015207561444951,0.8708038204106154,0.7933926871724586,2.160172432939731,10.329356482840907
NATIONAL,2022Q3,14688,92.0,106818366.0,79.04882868002267,1161069.1956521738,386004492.31999874,62585594.31000022,357600463.0299982,42386654.13,230629972.87999955,40528411.300000034,3.613652846178145,0.5859066811600565,3.3477432432358887,0.3968105459504969,0.8697092503117193,0.7927692525750085,2.1590853849983023,10.499466225486794
NATIONAL,2022Q4,14703,92.0,108230876.0,80.01241686848867,1176422.5652173914,390331907.15000063,62875285.199999824,362210114.2499998,43026511.71999984,233413634.07999983,41055738.22000004,3.606474617742174,0.5809366746694338,3.346643098869493,0.3975437814990968,0.8699762649676512,0.7934256727313534,2.156627043099973,10.51816094660761
NATIONAL,2023Q1,14699,90.0,107504276.0,81.26348428842438,1194491.9555555556,390211440.9499996,63667330.59,360964258.69,43235007.759999946,232161532.2099993,39542774.669999965,3.6297294904809143,0.5922306810382129,3.3576735002615146,0.4021701216796245,0.8789817331085747,0.7968751163226131,2.1595562599761084,10.133678954602164
NATIONAL,2023Q2,14595,91.0,108087022.0,81.38194398954957,1187769.4725274723,395882297.2200002,63692293.51999989,367335154.0000005,43712210.08999997,237283516.95999983,38242385.73999991,3.662625631595255,0.5892686498477115,3.398513042574163,0.4044168234184486,0.8790419045129225,0.7996437521884623,2.195300717601414,9.660039362343047
