CY_Qtr,STATE,Facility_Count,Census,Total_Nurse_HPRD,Nurse_Care_HPRD,Total_RN_HPRD,Direct_Care_RN_HPRD,Contract_Percentage,State_Census
2020Q1,AR,208,78.15252535925613,4.085908248049208,3.7975367461404974,0.3655470295841668,0.198445254453038,0.4718869730236609,16255.725274725275
2020Q2,AR,208,74.74265638207946,4.174588115462396,3.866729797720977,0.39209194835194594,0.203503349404727,0.6850635048611899,15546.472527472528
2020Q3,AR,213,71.47300469483568,4.181459904254293,3.8540004355322948,0.40472629651181474,0.20952297075864726,0.8195258565470928,15223.75
2020Q4,AR,211,66.59921697918813,4.3922322837447325,4.0514935985099285,0.4168217096836073,0.21013040444793724,0.7952089095584498,14052.434782608696
2021Q1,AR,214,63.64543094496365,4.247709491920043,3.8956783141936238,0.4226619845963203,0.21016837832259624,0.9717447367449364,13620.12222222222
2021Q2,AR,216,66.13868538868539,4.005743602800568,3.660741810523207,0.3969994738550578,0.19607656639656867,1.18377553860062,14285.956043956045
2021Q3,AR,219,67.89760770299782,3.859958859679196,3.5386005346487317,0.37364743885421137,0.18578182325890114,1.478321950587191,14869.576086956522
2021Q4,AR,213,69.32212523970111,3.8783642039797934,3.5665935614114868,0.3630855538894556,0.17880103796659336,1.7091282886996542,14765.612676056337
2022Q1,AR,208,69.05667735042735,3.81900491281703,3.4918992435453045,0.36973522925319147,0.18110954939929963,2.099513086757419,14363.788888888888
2022Q2,AR,215,70.28663429593661,3.871480884378377,3.5461567688949196,0.36005320843132205,0.17539966316597802,3.4035639500082002,15111.626373626372
2022Q3,AR,215,71.47714863498484,3.8842731808478885,3.5507489860788306,0.35600286599831094,0.16789867578429474,3.2153505467442534,15367.58695652174
2022Q4,AR,214,72.2759548963836,3.865749443592938,3.543380853693931,0.351496891358842,0.16719945409914058,3.094848238877309,15467.054347826088
2023Q1,AR,215,72.89431524547804,3.8657928259736765,3.53051611302335,0.35959963984530363,0.1700361218145274,2.6614410252573917,15672.277777777777
2023Q2,AR,215,73.26997188857653,3.931389614566032,3.6010356833181385,0.35791364934179826,0.17097414279605475,2.083749530293481,15753.043956043954
2023Q3,AR,214,74.22043884599756,3.9917927229526473,3.6637359675127903,0.35792252807866126,0.17140528806804028,2.2002939783234914,15883.173913043478
2023Q4,AR,211,74.9572944570369,4.019352519567773,3.6805194729329362,0.3584253414438196,0.16797217455368157,2.506086709442984,15815.989130434784
2024Q1,AR,217,74.18255937610778,3.981589328294478,3.6233477008061397,0.3862308457398987,0.1799038489763346,2.4108033050282676,16097.615384615387
2024Q2,AR,216,74.55535205535206,4.075476526141962,3.7221168302103096,0.3864229866390075,0.18258917336535968,2.291935298495525,16103.956043956045
2024Q3,AR,216,75.70591787439614,4.07071905069568,3.72574773269309,0.3802629504369767,0.17994058871544535,2.152955861433385,16352.478260869564
2024Q4,AR,217,75.8148667601683,4.088155424797565,3.74245373845113,0.3883219584452102,0.18422995861434704,1.9200985242139752,16451.82608695652
2025Q1,AR,216,76.59531893004115,4.026353416659223,3.6711976994156528,0.4004282702703066,0.19012798410759343,1.9935147185093673,16544.588888888888
2025Q2,AR,216,76.65939153439155,4.122552844837827,3.7651657102355496,0.409836164577384,0.19721389525071725,1.8917273493775497,16558.428571428572
2025Q3,AR,218,76.80674112485042,4.1039309779828566,3.7670868767024404,0.3906569958115754,0.1923386755438071,1.9533985518039638,16743.869565217392
2025Q4,AR,219,77.08328370061545,4.098052159781182,3.7611544717122305,0.3846448720408686,0.1867611266430318,1.929807364800948,16881.239130434784
2017Q1,AZ,135,85.52880658436216,3.9131120167440514,3.6763011812254915,0.6144360670724374,0.461013342314817,0.9276174041141144,11546.38888888889
2017Q2,AZ,126,83.71149485435203,4.015177217774704,3.7579371371776014,0.6429786442683959,0.47464501227292993,1.1194979031745522,10547.648351648355
