STATE,CY_Qtr,facility_count,avg_days_reported,total_resident_days,avg_daily_census,MDScensus,Total_Nurse_Hours,Total_RN_Hours,Total_Nurse_Care_Hours,Total_RN_Care_Hours,Total_Nurse_Assistant_Hours,Total_Contract_Hours,Total_Nurse_HPRD,RN_HPRD,Nurse_Care_HPRD,RN_Care_HPRD,Nurse_Assistant_HPRD,Contract_Percentage,Direct_Care_Percentage,Total_RN_Percentage,Nurse_Aide_Percentage,Total_Nurse_HPRD_Median,RN_HPRD_Median,Nurse_Care_HPRD_Median,RN_Care_HPRD_Median,Nurse_Assistant_HPRD_Median,Contract_Percentage_Median
GA,2025Q3,351,92.0,2881029.0,89.2,31315.5,10120978.740000004,1316286.7300000002,9459598.14,842865.3699999998,6154952.669999996,329658.0800000001,3.5129735729838205,0.4568807637826624,3.283409552628592,0.2925570586064908,2.1363730354675345,3.257175896409401,93.4652505751632,13.005528060223943,60.81380890243817,3.45955567171981,0.4353392130257802,3.216286248830684,0.2645720924228734,,4.77946278381789
HI,2025Q3,42,92.0,314731.0,81.5,3421.0,1456116.77,489838.16,1350763.0600000003,390026.4799999999,850446.6699999999,119669.07,4.6265438422017535,1.556370869091383,4.291801760868807,1.239237571132173,2.70213823868637,8.218370426432216,92.76474853043553,33.64003286632019,58.40511472167167,4.587390742329477,1.5097133418140989,4.16373517144524,1.227912056072499,,8.668666662491304
IA,2025Q3,386,92.0,1836281.0,51.7,19959.6,7004049.149999999,1303923.68,6489447.240000003,892755.2500000003,4661767.919999997,296451.1399999999,3.814257812393636,0.7100894035281092,3.534016438660533,0.4861757269176124,2.5387007326220754,4.232567956779686,92.65279413409034,18.61671230562396,66.55818398989959,3.6927875761443607,0.6747559971606003,3.4431732731846267,0.45052331979081106,,4.279280796480246
ID,2025Q3,77,92.0,398272.0,56.2,4329.0,1574851.34,309735.9999999998,1466921.9800000002,220059.81,950620.75,92110.32,3.9542105395307727,0.7776996625421818,3.683216445042584,0.552536482604853,2.38686312369436,5.848826340650033,93.14669535729008,19.667634152694045,60.362570476017126,3.914774948714855,0.7268315301391036,3.620067560651039,0.5218476803432555,,6.727311080843883
IL,2025Q3,658,92.0,5670689.0,93.7,61637.9,18806499.350000028,3755398.470000002,17705744.660000023,2949346.330000001,11417980.699999996,1125378.0499999998,3.316439915855027,0.6622472983441698,3.122326874212291,0.5201036999207682,2.0135085348535244,5.983984733448004,94.14694532185754,19.96862042270507,60.71295081293256,3.357724736808273,0.6180101461888139,3.1763080630821987,0.4958295408793285,,4.365404176998156
IN,2025Q3,498,92.0,3245896.0,70.8,35281.5,11863395.44,1997780.150000002,10858505.440000003,1344355.51,7360256.709999996,406868.73000000033,3.654890803648669,0.6154787922964883,3.345302942546528,0.4141708514382469,2.267557774494314,3.4296144982924077,91.5294908183555,16.83986814823735,62.04173794277565,3.5691190298701523,0.6070625350304653,3.2414287308660645,0.3946204005589194,,3.7028102665465
KS,2025Q3,296,92.0,1367061.0,50.2,14859.4,5452012.830000001,895617.01,5070568.199999998,604034.9400000004,3609741.34,251706.39,3.9881269599527753,0.6551404875129933,3.709101642135938,0.4418492956788324,2.640512266826425,4.616760778972708,93.003599919995,16.42727260419891,66.20933318676725,3.952656627373649,0.6570885705933937,3.638187476628839,0.4280589415213702,,4.6136024078124
KY,2025Q3,267,92.0,1987400.0,80.9,21602.2,7731617.249999995,1376285.6699999997,7042109.350000003,905604.7100000004,4772733.420000002,261719.99,3.8903176260440753,0.6925056204085738,3.5433779561235803,0.4556730955016606,2.401496135654625,3.3850613854430023,91.08197059289256,17.800747573219564,61.73007878785004,3.762424334140437,0.6392622787830582,3.384443465122136,0.4042560000000003,,2.981261681831268
LA,2025Q3,256,92.0,2149765.0,91.3,23367.0,7979388.8,554159.2399999996,7294932.15,266987.86999999994,4967903.6800000025,281556.97,3.7117493307408016,0.2577766593092732,3.3933626000981505,0.124193979341928,2.310905461759775,3.5285530891789603,91.42219201049583,6.944883297327229,62.2592006044373,3.7308789082763862,0.240576261257963,3.4122091926416975,0.1029132144361746,,3.3192958466314053
MA,2025Q3,339,92.0,3037206.0,97.4,33013.1,11568234.97,1863386.7600000012,10588177.990000004,1262978.81,6806864.410000003,659621.3499999995,3.8088410763049994,0.6135200444092371,3.486157340002622,0.4158357417969015,2.241159937784926,5.702005117553378,91.5280335976786,16.107787962747455,58.840993700874,3.7249562554680655,0.5881475595913738,3.4104089552238803,0.3852839222445657,,6.142506142506143
