Chain,"Chain ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay residents with new or worsened bowel or bladder incontinence","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF"
"NATIONWIDE HEALTHCARE SERVICES",366,7,2,0,0,1,14.3,100,0,0,2.6,2.6,3,3,3.8,3.5,0.6,52.4,48.8,0.7,12,1.7,320120,45731.43,0,0,25.8,10.9,1.4,2.1,44.9,52.1,45.8,2.7,2,15.3,2.9,4.5,1.1,1,12.9,14.1,94.1,82.7,0,21.7,7.2,2.5,19.5,10.1
NEURORESTORATIVE,367,5,3,0,1,1,20,100,0,0,3.4,3.4,3,4.4,8.1,7.6,2.4,46.5,49.7,0,5,1,179940,35988,0,0,"","","","","",63.6,84,1.6,2,9.3,0.3,5,0.8,1.4,10.8,9.9,90.6,90.7,0,7.9,4.9,2.3,33,""
"NEW YORK CITY HEALTH + HOSPITALS",368,5,1,0,0,0,0,20,0,80,4.6,4,4.8,4.4,4.9,4.2,1.6,22.8,25.4,0.4,1,0.2,17345,3469,0,0,18.1,8.9,0.5,3.5,43.9,81.7,77.3,1.3,0.7,6.4,1.3,10.9,1.3,0.2,10.6,11.9,98.3,95.9,0.7,11.9,3.8,0.8,4.2,9.8
"NEXCARE HEALTH SYSTEMS",369,20,1,0,0,3,15,100,0,0,3.8,3.4,3.7,4.4,3.8,3.4,0.6,42.3,34.9,0.5,12,0.6,341309,17065.45,6,0.3,24.4,11,0.5,1.2,52.8,77.9,79.4,1.7,1.3,13.6,2.4,4.7,1.2,0.4,8.5,8,94.4,96.4,0.1,6.2,5.4,1.8,18.8,10.6
"NEXION HEALTH",370,52,3,1,1,7,13.5,92.3,0,7.7,2.4,2.4,2.8,2.8,3.6,3.2,0.4,43.6,43.3,0.6,75,1.4,2629589,50569.02,9,0.2,27.5,13,1.8,2.4,43.2,78.2,77.8,2.2,2.5,15.1,2.8,4.2,0.6,1,22,20.7,95.9,95.7,0.2,15.3,4.4,0.7,20.3,11.5
"NEXT STEP HEALTHCARE",371,14,1,0,2,1,7.1,100,0,0,1.9,2.1,2.4,2.4,3.4,3.1,0.6,40.6,51.6,0.7,22,1.6,1402313,100165.21,0,0,27,14.5,1.9,3.4,40.1,73.1,69.4,2.5,2.1,27,3.4,5.9,2.3,1.2,10.1,10,97.8,92.9,0.2,25.4,6.7,17.9,20.7,11.3
"NHS MANAGEMENT",372,43,3,0,0,2,4.7,100,0,0,3,2.8,3.7,3.5,4,3.4,0.6,51.1,49.8,0.4,8,0.2,218754,5087.3,2,0,25.4,11.9,1.6,3.6,56.5,78.7,86.9,1.9,1.7,21.3,3.1,6.6,1.5,0.6,9.8,10.1,93.8,92.1,0,9.4,4.4,1,23.5,10.7
NIGHTINGALE,815,5,1,0,0,0,0,100,0,0,4,4,3.6,3,3.5,3.1,0.6,36,28.8,0.4,2,0.4,28293,5658.6,0,0,26.7,17.9,1.2,3.1,64.3,63.8,75,2.4,3.3,16.5,3.8,4.1,1.3,0.1,10.9,8.7,96,92.8,0,13.9,6.4,0.8,22.9,11.8
"NOLAND HEALTH",374,10,1,0,0,0,0,20,80,0,2.7,2.4,4.1,3.3,4,3.4,0.7,46.9,35.7,0.2,1,0.1,17345,1734.5,0,0,26.7,11,1.6,2.2,43.9,88.2,90,2.5,1.6,19.3,3.6,5,3.6,1.3,14.2,10.7,97.7,91.5,0,9.9,6.3,1.6,24.9,10.9
"NORBERT BENNETT & DONALD DENZ",771,27,6,0,0,3,11.1,96.3,3.7,0,1.8,2,2.6,2.3,3.5,3,0.3,54.9,47.5,0.9,43,1.6,1545265,57232.04,10,0.4,26.7,12.4,2.7,2.6,42.4,68.9,78.9,2.6,2.6,27.8,2.9,7.2,1.4,0.8,17.8,16.4,89.8,90.4,1,12.9,4.8,0.5,23.3,11
"NORTH COUNTRY ASSOCIATES",375,9,1,0,0,0,0,77.8,22.2,0,2.6,2.4,4.1,2.6,4.6,4.2,1,50.1,48.3,0.5,2,0.2,23179,2575.44,0,0,21.9,19.4,2.1,3,64.8,70.9,69.3,2,3.6,20,4.6,3.7,1.2,0.6,30.7,32.9,96.1,89.2,0.1,28.6,2.5,8,17,10.3
"NORTH MISSISSIPPI HEALTH SERVICES",376,2,2,0,0,0,0,0,100,0,3.5,2,4.5,5,4.1,3.5,1.2,31.5,23.1,0.5,1,0.5,13520,6760,0,0,33.6,10.8,0.8,3.3,72.1,62.7,61.8,0.9,1,22.8,1.8,6.2,0.7,1.5,17.9,17.1,94.6,69.4,0,22.1,8.1,0.6,29.5,10.6
"NORTH SHORE HEALTHCARE",377,59,4,0,1,1,1.7,100,0,0,2.7,2.8,3.5,2.6,3.6,3.2,1,43.2,40.5,0.7,35,0.6,990485,16787.88,5,0.1,25,14.4,1.8,2.3,50.3,79.1,82,1.8,2.1,17.8,3.6,5,2.7,2.7,25.5,20.1,95.7,96.1,0.2,27.2,4.6,5.2,15.9,10.5
"NORTHWOOD HEALTHCARE GROUP",772,6,1,0,1,1,16.7,100,0,0,2.7,2.2,1.3,4.7,3.4,3,0.5,51.2,48.6,1.2,4,0.7,548521,91420.17,3,0.5,23.9,8.6,0.8,1,57.7,82.5,80,2.5,2.1,12.1,2.4,4.2,0.3,0.2,4.5,2.2,95.9,86.9,0,22.3,5.9,62.4,25.4,10.9
"NURSING CARE MANAGEMENT OF AMERICA",379,5,2,0,0,0,0,100,0,0,3.2,2.6,3.2,4.6,3.9,3.5,0.7,37.6,28.4,0.2,4,0.8,43883,8776.6,2,0.4,20.8,11.2,0.2,0.8,60.7,84.7,85.4,2,1.3,7.7,4.2,3.1,0.3,0.2,5.4,5.9,98,97.5,0,25.5,4.5,22.3,23.2,10.3
"OAKBEND MEDICAL CENTER",579,5,1,0,0,0,0,40,0,60,3.4,3.4,1.8,4,3.1,2.8,0.4,55,42.5,0,7,1.4,178989,35797.8,0,0,21.1,17.3,2.2,1.9,59,88.8,81,1.9,2.5,7.6,3.3,9,1.6,0,9,12.8,99.6,99.5,0,10.8,5.5,0.8,15.4,11
"OCEAN HEALTHCARE",381,11,1,0,0,0,0,100,0,0,3.1,2.5,2.8,4.5,3.3,3,0.4,35.9,27.6,0.2,6,0.5,227648,20695.27,0,0,24.2,8.2,1.1,2.7,73.3,78.8,73.5,2.2,1.2,9.5,2.7,4.8,0.7,1.1,10.7,9.7,97.8,92.9,0,17.7,5.9,4.4,14,10.8
"OHANA PACIFIC MANAGEMENT CO.",382,6,1,0,0,0,0,100,0,0,3.2,2.7,4,3.8,4.2,3.7,1.5,39.2,32,0.2,3,0.5,105325,17554.17,1,0.2,17.8,13.1,0.4,2.4,54.2,84.5,85.9,1.2,1.3,10.9,1.6,5.2,4.3,1.4,29.4,18.2,96.7,98.3,0,18.6,5.1,0.5,6.2,9.4
