Chain,Chain ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF
FAMILY OF CARING HEALTHCARE,220,8,1,0,0,0,0,100,0,0,3.8,3.4,3.5,4.3,4,3.7,0.9,34.9,25.3,0.4,3,0.4,39336,4917,0,0,24.9,9.1,1.2,1.6,63.2,91.4,98.8,1.5,0.7,15.7,2.6,5.3,1.3,1.2,15,11,97.6,99.3,0,17.4,6,8.3,15.4,10.1
THE CARPENTER HEALTH NETWORK,890,5,2,0,0,0,0,80,0,0,2.6,3.4,1.4,2.4,3.5,3.1,0.1,53.9,100,0.5,1,0.2,44090,8818,2,0.4,27.5,11.5,2.6,1.5,46.7,55.2,60.3,2.1,1.9,15,1.3,11.6,2.6,4.2,24.2,19.7,97,91,1.4,8.9,2.8,1.7,26.2,11
COMMONSPIRIT HEALTH,151,19,10,0,2,2,10.5,15.8,84.2,0,2.8,2.8,3,3.6,4.7,4.2,1.2,44.9,48.9,0.9,16,0.8,1170135,61586.1,9,0.5,26.2,12,1.7,2.4,61.1,72.4,77.4,2,2,13.8,3.1,6.1,0.9,1.1,14,13.1,92.9,91.2,0.6,17.5,6.5,24,20.8,11.1
AUTUMN LAKE HEALTHCARE,56,60,5,0,0,6,10,100,0,0,2.9,2.5,2.4,4.3,3.6,3.3,0.5,44.7,39.7,0.2,53,0.9,1113839,18564,1,0,23.1,10.1,1.1,2.4,73.7,88.3,90.9,1.6,1.3,14.9,1.9,5.1,0.7,0.2,17.2,18,98.4,98.4,0,24.8,5.7,26.4,17,11.6
TANABELL HEALTH SERVICES,884,5,2,0,0,1,20,100,0,0,3.2,3,2.2,4.2,4,3.4,0.8,65.9,64.1,0,1,0.2,11297,2259.4,0,0,20.7,13.7,0.6,0.9,64,91.1,95.6,1.5,1.6,11.8,3.2,3.3,1.3,2.4,24.3,12.4,95.4,97.4,0,22.8,4,13.3,15.6,9.5
OHIO LIVING COMMUNITIES,383,11,1,0,0,0,0,9.1,90.9,0,4.4,3.5,4,4.9,4.5,4,1,41.7,33.8,0.2,2,0.2,49553,4504.8,0,0,25.3,13.2,0.4,1.4,65.6,85.9,79,1.6,1.2,7.6,3.1,2.2,0.8,0.2,8.2,7.1,88.9,92.8,0,17.6,5.5,8.4,21.8,11
CORYELL COUNTY MEMORIAL HOSPITAL AUTHORITY,163,9,1,0,0,1,11.1,88.9,0,11.1,2.8,2.9,2.1,3.4,3.2,2.9,0.3,47.7,56,0.3,10,1.1,370029,41114.3,1,0.1,27.2,24,3.7,5,48.2,94.8,94.9,2.2,2.5,16.4,3.5,3.9,0.9,0.2,12.5,15.7,97.5,99.1,0,17.5,3.1,4.8,23.4,10.8
BRIAR HILL MANAGEMENT,89,6,1,0,0,0,0,100,0,0,3.2,2.8,4.5,1.8,4.1,3.5,0.8,46.3,36.7,0,7,1.2,114017,19002.8,1,0.2,30.5,18.2,1.5,2.6,64.7,90.7,92.8,3.1,3,23.6,2.7,7.8,1.2,1.6,23.2,23.9,97.4,93.5,0,25.3,6.1,1.3,21.7,11
UPMC SENIOR COMMUNITIES,537,8,1,0,0,2,25,25,75,0,3,2.6,3.6,3.9,5.3,4.7,1.9,49.1,42.2,0.3,4,0.5,86964,10870.5,0,0,23.1,8.9,0.6,3.7,57.2,81.6,85.2,1.1,1.7,13.7,4.3,4.8,1,0,17.5,14.7,97.9,92.6,0,26.1,6.5,7.1,17.2,11
ATIED ASSOCIATES,53,12,3,0,0,4,33.3,100,0,0,2.25,2.6,1.8,3.2,3.3,2.8,0.6,42.2,38.5,0.2,16,1.3,820869,68405.8,9,0.8,24.2,11,1.3,2,32.5,66,70.8,2.4,2.2,27.3,3,6.2,1.2,1.7,13.9,10.1,95.5,89.4,0,14.3,5.6,66.3,17.6,11.3
ATLAS HEALTHCARE,598,29,4,0,0,0,0,96.6,3.4,0,3.6,3.1,2.3,4.4,3.7,3.3,0.6,47.4,46.8,0.5,26,0.9,1611845,55580.9,1,0,24,9.4,0.8,2.1,61.5,77.5,75,1.6,1.2,13.1,3.3,4.1,0.6,0.2,8.8,8.1,95.1,88.6,0,24.5,4.5,25.7,19.3,10.7
SAPPHIRE CARE GROUP,590,8,1,0,0,1,12.5,100,0,0,2.6,1.9,2.1,4.6,3.4,3,0.6,37.8,38.3,0.7,3,0.4,142730,17841.3,0,0,16.7,7,0.9,2.1,72.9,85.4,89.5,1.4,0.7,13,2.3,6,0.7,0.1,10.8,12.3,96.9,96.5,0,23,6.1,45.9,13.7,9.9
DALLAS COUNTY HOSPITAL DISTRICT,844,5,1,0,1,2,40,40,0,60,3,2.2,2.8,4.6,3.7,3.2,0.6,50.5,56.1,0,12,2.4,235647,47129.4,0,0,22.2,12.3,0.5,0.8,66.8,93.1,92.1,1.8,1.6,4.3,1.6,2.4,0.1,0.1,19.9,15.4,99.2,99.1,0,11,2.1,1.6,16.8,12.2
OPTALIS HEALTH & REHABILITATION,601,37,2,0,1,10,27,100,0,0,2.3,1.9,2.4,4.3,3.6,3.2,0.6,53.7,50.4,0.5,40,1.1,2053062,55488.2,16,0.4,26.5,9.7,1,2.1,69.6,85.2,92.3,1.9,1.3,12.3,2.6,6.1,1.1,0.6,10.8,8.4,96.4,97.7,0,22.3,6.2,16,18.2,10.9
LECOM SENIOR LIVING,876,6,1,0,0,0,0,0,100,0,3.8,3.7,3.3,3.3,3.9,3.4,0.8,51.5,39.8,1.5,5,0.8,141064,23510.7,0,0,26.6,11.1,1.4,4,63.9,50.9,48.9,1.7,1.3,21.4,2.3,6.1,1.1,0.5,16.9,13.7,77.8,70.9,0.2,29.4,7.2,5.3,22.5,10.5
