Chain,"Chain ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay residents with new or worsened bowel or bladder incontinence","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF"
"ELDER SERVICES",195,6,1,0,1,1,16.7,100,0,0,2.2,2.3,3.5,2.3,4,3.6,0.5,48.1,56.1,0.6,8,1.3,659768,109961.33,0,0,29.6,12,0.4,4.4,35.3,70.7,68.2,2.1,1.6,41.7,4,4.5,3,1.5,20.1,28.8,97.3,91.7,1.5,23.8,6.5,7.2,23.2,10.2
ELDERWOOD,196,17,3,0,1,1,5.9,100,0,0,2.5,2.6,2.1,3.4,3.2,2.8,0.7,54.8,48.2,0.5,11,0.6,619928,36466.35,1,0.1,20.3,12.2,1,4,58.7,74,77,1.2,1.4,15.8,6,9.8,1.4,0.6,22.2,22.1,94.6,91.4,0,28.9,6.8,5.7,15.7,11.2
"ELEVATE CARE",197,12,2,0,0,3,25,100,0,0,2.3,2.3,2.1,3.8,3.3,2.9,0.7,38.4,32.3,0.3,33,2.8,1722840,143570,10,0.8,24.1,8.3,2.2,1,47.4,65.9,65.7,2,1.3,20.8,2.4,8.3,1.1,0.3,6.2,6.6,91.3,91.9,0.1,12.8,6.8,80.2,15.9,10.7
"ELMBROOK MANAGEMENT COMPANY",198,11,1,0,0,2,18.2,100,0,0,3.3,3.5,3.1,2.4,3.7,3.2,0.5,58.7,49.2,0.3,6,0.5,103197,9381.55,0,0,27.1,14.3,3.6,2.1,47.2,76.7,69.4,2.6,3.2,12.9,5.3,3.1,2.8,1.1,17.6,16.8,99.2,96.9,0.1,11.5,2.6,2.7,28.8,12.3
"EMBASSY HEALTHCARE",199,37,2,0,1,4,10.8,100,0,0,2.6,2.1,2.2,4.5,3.5,3.2,0.5,48.3,46,0.7,41,1.1,1832560,49528.65,13,0.4,22.1,9.2,1.8,2.2,54.9,65.7,61.4,1.5,1.5,17.6,2.6,4.5,0.6,0.3,7.5,6.8,92.4,88.8,0.4,24,6.3,9.2,25.8,11
"EMPIRE CARE CENTERS",202,19,1,0,0,1,5.3,94.7,0,5.3,1.8,2.1,1.4,3.2,3.2,2.9,0.4,54.7,55.7,1,23,1.2,632884,33309.68,5,0.3,26.6,9.7,1.9,3.2,55.1,74.4,77.4,2.1,1.4,11.3,2.8,5.9,1.3,0.7,21.6,19.1,89.4,79.8,0,25,7.3,3.4,14.2,12.1
"ENVIVE HEALTHCARE",204,13,1,0,0,0,0,84.6,7.7,7.7,2.5,2.5,1.6,4.2,3.4,3.2,0.7,45.8,39,0.8,14,1.1,88976,6844.31,0,0,20.5,9.3,2,2.7,56.6,47.6,43.6,1.8,1.3,15.4,4,4.1,0.5,0.2,19.4,17.2,88.5,82.2,0,25.7,7.7,46.1,23.2,10.3
"EPHRAM LAHASKY",205,23,10,2,4,4,17.4,100,0,0,1.8,1.9,2,2.8,3.5,3.1,0.6,53.1,56,0.7,41,1.8,2015384,87625.39,7,0.3,28.3,13.5,2,4.2,46.6,72.6,72.2,2,2.4,17.1,3,5.7,1.6,0.9,15.8,15.7,95.3,86.5,0,22.1,6,23.9,23.2,10.7
"EPIC HEALTHCARE MANAGEMENT",207,5,1,0,0,0,0,100,0,0,3,2.4,2.4,4.6,3.2,2.9,0.6,31.2,25.6,0.4,2,0.4,19984,3996.8,0,0,18.7,10.5,0.4,2.1,53.2,83.3,73.8,2,1.1,13.8,3,4.6,0.2,0.1,11.5,13.3,97.8,94.4,0,19.7,4.8,20.1,15.9,10.8
"ESSENTIAL HEALTHCARE",212,6,1,0,1,2,33.3,100,0,0,2.3,2.2,3.7,2.6,3.9,3.3,0.8,28.8,47.2,1.2,5,0.8,326146,54357.67,1,0.2,30.3,13.7,2.1,1.6,50.2,50.6,37.4,3.4,2.5,21.5,2.3,4.7,1.1,0.9,14.5,14.9,90.8,67.4,0,19.9,5.9,35.1,22.4,10.9
"EVA CARE GROUP",213,9,1,1,0,0,0,100,0,0,3.1,2.5,4.3,4.3,4.3,4,0.8,35,37.9,0.6,8,0.9,525372,58374.67,3,0.3,24.1,12.1,0.9,1,54.1,99.3,99.2,2.5,1.6,9.7,0.8,5.3,2.8,1,13.8,11.2,99.8,99.9,0,7.4,5.1,0,13,10.9
"EXCELSIOR CARE GROUP",217,33,3,0,0,4,12.1,100,0,0,2.7,2.1,2.4,4.5,3.3,3.1,0.6,41.5,49.1,1.1,77,2.3,1333148,40398.42,0,0,24,8.4,1.9,2,58.7,88.7,86.5,1.9,1,11.8,2,6.2,0.2,0.2,8.1,7.6,98.1,95.5,0,8,7,23.5,15.2,10.9
"FAMILY OF CARING HEALTHCARE",220,8,1,0,0,0,0,100,0,0,3.8,3.4,3.5,4.3,4.1,3.8,0.9,34.7,25.8,0.5,3,0.4,39336,4917,0,0,25.9,9.3,1.3,1.7,59.3,91.4,98.7,1.5,0.8,16.6,2.7,5.4,1.4,1.3,15.3,10.1,97.6,99.4,0,17.2,6.4,7.2,15.6,10.1
"FIRST ATLANTIC HEALTHCARE",221,10,1,0,1,1,10,100,0,0,2.8,2.7,4,2.7,4.2,3.8,0.9,48.7,38.3,0.2,7,0.7,140746,14074.6,0,0,24.3,16.9,1,2.7,55.5,69.4,68.9,1.6,3.1,24.1,3.2,5.2,2.8,0.6,29.9,24.4,97.2,88.5,0,27.3,6.4,4.4,20.7,10.8
"FLORIDA INSTITUTE FOR LONG-TERM CARE",223,18,1,0,3,3,16.7,22.2,77.8,0,2.4,2.2,3,4,3.3,3.1,0.6,36.7,46.3,0.9,22,1.2,1238940,68830,0,0,27.8,7.9,3,2,51,98.9,94.9,2.1,1.1,8.8,2.4,6.3,0.2,0,7.1,7.5,100,97.1,0,4.2,6.2,0.9,20.8,11.3
"FOCUSED POST ACUTE CARE PARTNERS",224,25,1,0,2,6,24,92,0,8,2.2,2,1.4,4.4,3,2.7,0.3,49.7,59.3,0.6,40,1.6,1830562,73222.48,6,0.2,26.2,14.8,1.7,0.9,53.5,83.7,87.9,1.5,1.8,12.4,3.2,5.3,0.9,0.3,9.6,13.9,98.9,99.2,0,11.6,3.1,0.5,19,10.6
"FOUNDATIONS HEALTH SOLUTIONS",225,63,1,0,0,0,0,100,0,0,4,3.9,2.1,4.4,3.6,3.2,0.6,39.8,36.3,0.4,37,0.6,434930,6903.65,1,0,27,13.9,1.1,2.6,44.5,81.3,83.8,1.7,1.7,9.4,2.3,3.5,0.2,0.1,3.9,3.6,95,95.6,0,17.1,5.6,53,28,10.9
